sentence	part	category
המדינות המשתתפות החליטו שרק המשטרים הדמוקרטים יכולים להשתתף בפעילויות הכינוסים ולהצטרף לתוכנית איזור הסחר החופשי , כך נאמר בהצהרת הסיכום של הפסגה השלישית של האמריקות , שננעלה באמצע יום ראשון . 	 לתוכנית איזור הסחר 	18.0
המדינות המשתתפות החליטו שרק המשטרים הדמוקרטים יכולים להשתתף בפעילויות הכינוסים ולהצטרף לתוכנית איזור הסחר החופשי , כך נאמר בהצהרת הסיכום של הפסגה השלישית של האמריקות , שננעלה באמצע יום ראשון . 	 הסחר החופשי 	12.0
המדינות המשתתפות החליטו שרק המשטרים הדמוקרטים יכולים להשתתף בפעילויות הכינוסים ולהצטרף לתוכנית איזור הסחר החופשי , כך נאמר בהצהרת הסיכום של הפסגה השלישית של האמריקות , שננעלה באמצע יום ראשון . 	 בהצהרת הסיכום 	18.0
מטען צד הופעל נגד אוטובוס ישראלי בכביש חוצה שומרון סמוך לצומת ברקן מערבה מאריאל . 	 מטען צד 	12.0
מטען צד הופעל נגד אוטובוס ישראלי בכביש חוצה שומרון סמוך לצומת ברקן מערבה מאריאל . 	 אוטובוס ישראלי 	12.0
מטען צד הופעל נגד אוטובוס ישראלי בכביש חוצה שומרון סמוך לצומת ברקן מערבה מאריאל . 	 בכביש חוצה שומרון 	16.0
מטען צד הופעל נגד אוטובוס ישראלי בכביש חוצה שומרון סמוך לצומת ברקן מערבה מאריאל . 	 לצומת ברקן 	14.0
"לדברי דובר "" אגד "" , חברות האוטובוסים "" אגד "" ו "" דן "" פנו לראש הממשלה , לשר הביטחון , לשר לבטחון הפנים ולשר התחבורה , בקריאה לנקוט צעדים לאבטחת שלומם של הנוסעים בתחבורה הציבורית "	" דברי דובר "" אגד "" "	3.0
"לדברי דובר "" אגד "" , חברות האוטובוסים "" אגד "" ו "" דן "" פנו לראש הממשלה , לשר הביטחון , לשר לבטחון הפנים ולשר התחבורה , בקריאה לנקוט צעדים לאבטחת שלומם של הנוסעים בתחבורה הציבורית "	" דובר "" אגד "" "	14.0
"לדברי דובר "" אגד "" , חברות האוטובוסים "" אגד "" ו "" דן "" פנו לראש הממשלה , לשר הביטחון , לשר לבטחון הפנים ולשר התחבורה , בקריאה לנקוט צעדים לאבטחת שלומם של הנוסעים בתחבורה הציבורית "	 חברות האוטובוסים 	12.0
"לדברי דובר "" אגד "" , חברות האוטובוסים "" אגד "" ו "" דן "" פנו לראש הממשלה , לשר הביטחון , לשר לבטחון הפנים ולשר התחבורה , בקריאה לנקוט צעדים לאבטחת שלומם של הנוסעים בתחבורה הציבורית "	 לשר לבטחון הפנים 	18.0
"לדברי דובר "" אגד "" , חברות האוטובוסים "" אגד "" ו "" דן "" פנו לראש הממשלה , לשר הביטחון , לשר לבטחון הפנים ולשר התחבורה , בקריאה לנקוט צעדים לאבטחת שלומם של הנוסעים בתחבורה הציבורית "	 לשר התחבורה 	18.0
"לדברי דובר "" אגד "" , חברות האוטובוסים "" אגד "" ו "" דן "" פנו לראש הממשלה , לשר הביטחון , לשר לבטחון הפנים ולשר התחבורה , בקריאה לנקוט צעדים לאבטחת שלומם של הנוסעים בתחבורה הציבורית "	 בתחבורה הציבורית 	12.0
"ארגון "" גדודי השאהידים "" לקח על עצמו את האחריות להנחת מטען החבלה שהתפוצץ אתמול בערב בצומת הצ'ק פוסט בכניסה לחיפה . "	" ארגון "" גדודי השאהידים "" "	14.0
"ארגון "" גדודי השאהידים "" לקח על עצמו את האחריות להנחת מטען החבלה שהתפוצץ אתמול בערב בצומת הצ'ק פוסט בכניסה לחיפה . "	 מטען החבלה 	1.0
"ארגון "" גדודי השאהידים "" לקח על עצמו את האחריות להנחת מטען החבלה שהתפוצץ אתמול בערב בצומת הצ'ק פוסט בכניסה לחיפה . "	 בצומת הצ'ק פוסט 	14.0
"מן הפרטים שהותרו לפרסום עולה כי לפני מעצרו של תא""ל יעקב הזהירוהו גורמי ביטחון כי הוא מוסר מידע מסווג ואסור .  "	 גורמי ביטחון 	18.0
"מן הפרטים שהותרו לפרסום עולה כי לפני מעצרו של תא""ל יעקב הזהירוהו גורמי ביטחון כי הוא מוסר מידע מסווג ואסור . "	 מידע מסווג 	12.0
המורדים התפרצו ללובי של המלון כשהם יורים באוויר בנשק אוטומטי .	 בנשק אוטומטי 	12.0
בנגב ובגוש קטיף נגרמים נזקים כבדים לחקלאות , עקב סופות חול המשתוללות במקום . 	 סופות חול 	7.0
לפני זמן קצר ירו ערבים מתוך רכב מסוג טרנספורטר לעבר רכב ישראלי סמוך לצומת בית ינאי בנחל עירון . 	 רכב ישראלי 	12.0
לפני זמן קצר ירו ערבים מתוך רכב מסוג טרנספורטר לעבר רכב ישראלי סמוך לצומת בית ינאי בנחל עירון . 	 לצומת בית ינאי 	16.0
לפני זמן קצר ירו ערבים מתוך רכב מסוג טרנספורטר לעבר רכב ישראלי סמוך לצומת בית ינאי בנחל עירון . 	 בנחל עירון 	14.0
"רימון רסס הושלך לעבר עמדת צה""ל על גבול ישראל - מצרים . "	 רימון רסס 	12.0
"רימון רסס הושלך לעבר עמדת צה""ל על גבול ישראל - מצרים . "	" עמדת צה""ל "	9.0
לדברי כתבנו אריאל כהנא , החשיפה , שהייתה לפני כשנה וחצי במהלך כנס באוניברסיטת בר אילן , הביכה את הארכיאולוג הראשי של מחוז ירושלים ג'ון זליגמן ובכירים אחרים . 	 באוניברסיטת בר אילן 	14.0
לדברי כתבנו אריאל כהנא , החשיפה , שהייתה לפני כשנה וחצי במהלך כנס באוניברסיטת בר אילן , הביכה את הארכיאולוג הראשי של מחוז ירושלים ג'ון זליגמן ובכירים אחרים . 	 מחוז ירושלים 	16.0
"על פי הדיווחים , השניים הגיעו למחסום צה""ל צפונית לכפר דר באלוט ואנשי יחידה מיוחדת של צה""ל הגיחו לפתע , עצרו אותם והעבירו אותם ככל הנראה לחקירה . "	" מחסום צה""ל "	9.0
"על פי הדיווחים , השניים הגיעו למחסום צה""ל צפונית לכפר דר באלוט ואנשי יחידה מיוחדת של צה""ל הגיחו לפתע , עצרו אותם והעבירו אותם ככל הנראה לחקירה . "	 לכפר דר באלוט 	16.0
"על פי הדיווחים , השניים הגיעו למחסום צה""ל צפונית לכפר דר באלוט ואנשי יחידה מיוחדת של צה""ל הגיחו לפתע , עצרו אותם והעבירו אותם ככל הנראה לחקירה . "	 ואנשי יחידה מיוחדת 	9.0
"כתב עתי""ם מוסר , כי העותרים דורשים ממשרד המדע , התרבות והספורט , עיריית ירושלים , משרד החוץ , משרד התיירות והסוכנות היהודית להשיב בבית המשפט מדוע אינם מפסיקים את התמיכה הכספית לפסטיבל ומבקשים מבג""צ לתת צו ביניים האוסר עליהם לתמוך כספית בעמותה שמנהלת את הפסטיבל . "	 ממשרד המדע 	18.0
"כתב עתי""ם מוסר , כי העותרים דורשים ממשרד המדע , התרבות והספורט , עיריית ירושלים , משרד החוץ , משרד התיירות והסוכנות היהודית להשיב בבית המשפט מדוע אינם מפסיקים את התמיכה הכספית לפסטיבל ומבקשים מבג""צ לתת צו ביניים האוסר עליהם לתמוך כספית בעמותה שמנהלת את הפסטיבל . "	 עיריית ירושלים 	9.0
"כתב עתי""ם מוסר , כי העותרים דורשים ממשרד המדע , התרבות והספורט , עיריית ירושלים , משרד החוץ , משרד התיירות והסוכנות היהודית להשיב בבית המשפט מדוע אינם מפסיקים את התמיכה הכספית לפסטיבל ומבקשים מבג""צ לתת צו ביניים האוסר עליהם לתמוך כספית בעמותה שמנהלת את הפסטיבל . "	 משרד החוץ 	9.0
"כתב עתי""ם מוסר , כי העותרים דורשים ממשרד המדע , התרבות והספורט , עיריית ירושלים , משרד החוץ , משרד התיירות והסוכנות היהודית להשיב בבית המשפט מדוע אינם מפסיקים את התמיכה הכספית לפסטיבל ומבקשים מבג""צ לתת צו ביניים האוסר עליהם לתמוך כספית בעמותה שמנהלת את הפסטיבל . "	 משרד התיירות 	9.0
"כתב עתי""ם מוסר , כי העותרים דורשים ממשרד המדע , התרבות והספורט , עיריית ירושלים , משרד החוץ , משרד התיירות והסוכנות היהודית להשיב בבית המשפט מדוע אינם מפסיקים את התמיכה הכספית לפסטיבל ומבקשים מבג""צ לתת צו ביניים האוסר עליהם לתמוך כספית בעמותה שמנהלת את הפסטיבל . "	 הסוכנות היהודית 	9.0
"כתב עתי""ם מוסר , כי העותרים דורשים ממשרד המדע , התרבות והספורט , עיריית ירושלים , משרד החוץ , משרד התיירות והסוכנות היהודית להשיב בבית המשפט מדוע אינם מפסיקים את התמיכה הכספית לפסטיבל ומבקשים מבג""צ לתת צו ביניים האוסר עליהם לתמוך כספית בעמותה שמנהלת את הפסטיבל . "	 בבית המשפט 	16.0
שומר נאצי לשעבר במחנה ההשמדה טרייזנשטאט , שהואשם ברצח , יובא להיום לחקירה בבית המשפט בגרמניה , לאחר שלא הצליח לענות על שאלות שנשאל בשימוע שהיה אתמול . 	 במחנה ההשמדה 	16.0
שומר נאצי לשעבר במחנה ההשמדה טרייזנשטאט , שהואשם ברצח , יובא להיום לחקירה בבית המשפט בגרמניה , לאחר שלא הצליח לענות על שאלות שנשאל בשימוע שהיה אתמול . 	 בבית המשפט 	16.0
פצצות המרגמה נפלו בין האזור המיושב בגדיד ובין חממות הישוב . 	 פצצות המרגמה 	11.0
פצצות המרגמה נפלו בין האזור המיושב בגדיד ובין חממות הישוב . 	 חממות הישוב 	9.0
בשעה 13:00 בהר הרצל בירושלים יקיים מרכז ההסברה עצרת זכרון לחללי פעולות איבה במעמד נשיא המדינה , ראש הממשלה , נשיא בית המשפט העליון ושר העבודה והרווחה . 	 בהר הרצל 	15.0
בשעה 13:00 בהר הרצל בירושלים יקיים מרכז ההסברה עצרת זכרון לחללי פעולות איבה במעמד נשיא המדינה , ראש הממשלה , נשיא בית המשפט העליון ושר העבודה והרווחה . 	 מרכז ההסברה 	18.0
בשעה 13:00 בהר הרצל בירושלים יקיים מרכז ההסברה עצרת זכרון לחללי פעולות איבה במעמד נשיא המדינה , ראש הממשלה , נשיא בית המשפט העליון ושר העבודה והרווחה . 	 עצרת זכרון 	18.0
בשעה 13:00 בהר הרצל בירושלים יקיים מרכז ההסברה עצרת זכרון לחללי פעולות איבה במעמד נשיא המדינה , ראש הממשלה , נשיא בית המשפט העליון ושר העבודה והרווחה . 	 לחללי פעולות איבה 	2.0
החשש היה שבאמצעות הגלשן חדרו מחבלים לשטח ישראל 	 שטח ישראל 	16.0
"עוד לפני בואו של פאוול הוא ייפגש בארה""ב עם ראש הממשלה שרון "	 ראש הממשלה 	18.0
"שרון ייפגש בארה""ב גם עם הנשיא בוש "	 הנשיא בוש 	14.0
"ויליאם ברנס השליח האמריקאי למזה""ת יגיע היום לישראל "	 השליח האמריקאי 	12.0
ראש הממשלה שרון נאם אתמול בכנס כלכלי 	 כנס כלכלי 	16.0
לנסוע ליישוביהם רק בשיירות של לפחות שני כלי רכב 	 כלי רכב 	12.0
שרון אמר עוד כי הוא מתכוון להקים מועצת נגידים 	 מועצת נגידים 	4.0
"משרד החינוך מאפשר לגבות עד 800 ש""ח "	 משרד החינוך 	18.0
"הרמטכ""ל אישר היום את תוכנית לשבץ נשים בשירות המילואים "	 שירות המילואים 	18.0
עימותים קשים בין מתיישבים יהודים לפלשתינים 	 מתיישבים יהודים 	12.0
כוחות הבטחון מנסים להשליט סדר במקום 	 כוחות הבטחון 	18.0
לפחות 46 בני אדם נהרגו בטיוואן , עשרות נפצעו 	 בני אדם 	12.0
צוותי ההצלה מחפשים עדיין ניצולים בין ההריסות 	 צוותי ההצלה 	16.0
כך , לפחות , טוען מכון מחקר אמריקני 	 מכון מחקר אמריקני 	16.0
"על פי הערכות האו""ם נהרגו במלחמה בקונגו בין מיליון לשני מיליון בני אדם "	 בני אדם 	12.0
כשלוש מאות וחמשים אלף אזרחים מתו כתוצאה ישירה מפעולות האיבה , והיתר נפלו קרבנות להשלכות הנובעות מהמלחמה , בדרך כלל מרעב וממחלות 	 פעולות האיבה 	16.0
ביקורו של שרון בתורכיה בא בהמשך לביקורו של שר הבטחון שם 	 שר הבטחון 	18.0
בשנים האחרונות התהדק מאוד שיתוף הפעולה הבטחוני בין שתי המדינות 	 שיתוף הפעולה 	12.0
"פעיל הימין איתמר בן גביר עתר היום לבג""ץ נגד כינוס הוועדה למינוי שופטים "	 פעיל הימין 	18.0
בן גביר תובע שהוועדה לא תדון בהצעה למנות את השופטת איללה פרוקצ'ה כשופטת בבית המשפט העליון 	 בית המשפט העליון 	16.0
"מועצת יש""ע הוקיעה את התנהגותם זו של חברי הכנסת ממר""צ "	 חברי הכנסת 	18.0
"כך מסר לסוכנות עתי""ם מקור פלשתיני "	 מקור פלסטיני 	12.0
במגזר היהודי לא היה שינוי מהשנה הקודמת 	 מגזר יהודי 	12.0
אנשי החילוץ יצאו לסרוק את האיזור ומצאו את דני טרנר , כשהוא בריא ושלם 	 אנשי החילוץ 	12.0
סמוך לשעה 13:00 התקבלה ביחידת החילוץ הודעה על היעדרם של השניים 	 יחידת החילוץ 	18.0
שניהם לא רצו להמתין להסעה למצפה רמון והחלו לעשות את דרכם ברגל , כל אחד בנפרד 	 מצפה רמון 	15.0
בשל השרב , הוחלט לשחררם מהעבודה לפני סיום יום העבודה 	 יום העבודה 	12.0
לבנת אמרה שמדובר בתוכנית ראשונית , וטרם הוחלט באילו שכבות גיל תיושם 	 תכנית ראשונית 	12.0
בסוף דבריו אמר שרון כי הממשלה תקרא בעיון את קביעות הועדה 	 קביעות הועדה 	12.0
לאחר שעות אחדות נסוגו החיילים מן הבתים שתפסו למרות שהאש נגדם לא הופסקה 	 שעות אחדות 	20.0
החיילים התמקמו במבנים וירו מהם לכיוון המחבלים הפלשתינים 	 המחבלים הפלשתינים 	12.0
התושבים צועדים לכיוון בריכות שלמה 	 בריכות שלמה 	15.0
אין זו הפעם הראשונה שמושלכים ביצים ואבנים לעבר שוטרים , שמטרתם לשמור על בטחון התושבים 	 בטחון התושבים 	16.0
חבורת הצעירים נמלטה מן המקום 	 חבורת הצעירים 	4.0
הדבר עורר זעם רב בקרב תושבי השכונה , הטוענים כי אין מספיק ביטחון לתושבים 	 תושבי השכונה 	16.0
ממשטרת ירושלים נמסר , כי אין נפגעים , ולא נגרם נזק 	 משטרת ירושלים 	16.0
"צה""ל יגיש למשפחות את כל הסיוע לטקס השחרור הסמלי "	 טקס השחרור 	16.0
ליד סמירמיס שבשומרון נפתחה בצהרים אש אל ג'יפ צבאי 	 ג'יפ צבאי 	9.0
מדיווח ראשוני עולה כי ככל הנראה יש פצוע במקום , אולם מצבו אינו ברור 	 דיווח ראשוני 	17.0
המפגינים , שאחדים מהם ירו יריות שמחה באוויר 	 יריות שמחה 	2.0
"צבי האוזר הסיר את מועמדותו לתפקיד מנכ""ל רשות השידור "	 רשות השידור 	16.0
אחד מהמחבלים רצה לבצע פיגוע התאבדות בלב ישראל 	 לב ישראל 	16.0
פקידים אמריקניים אמרו כי הם מטילים ספק אם בכלל תתקיים פגישה בין פרס לערפאת 	 פקידים אמריקניים 	12.0
פצועה אחת הועברה לבית החולים ושתיים טופלו במקום 	 בית החולים 	16.0
"חייל צה""ל נפצע פצעים קלים "	 פצעים קלים 	12.0
"ארה""ב הודיעה כי תטיל וטו על הצעת הפלשיתינים "	 הצעת הפלשיתינים 	9.0
בסיום הפעולה יצא הכח מהשטח ללא נפגעים 	 סיום הפעולה 	17.0
"מחבלים ירו לעבר עמדות צה""ל ליד מערת המכפלה ובתי הישוב היהודי בעיר "	" עמדות צה""ל "	9.0
רופא קבע את מותה של האישה בביתה , בשעות הבוקר 	 שעות הבוקר 	17.0
בני משפחתה של האישה הזמינו למקום אמבולנס כדי לפנותה לבית העלמין בהרצליה 	 בית העלמין 	16.0
"המו""מ עם ארגוני המורים יימשך גם היום כדי לאפשר את פתיחת שנת הלימודים בזמן "	 ארגוני המורים 	12.0
"בעקבות החלטת ארה""ב תשלח גם ישראל משלחת לועידה בדרבן "	" החלטת ארה""ב "	9.0
תופעה זו , אומר הנגבי , מסכנת את מי התהום של ישראל 	 מי התהום 	16.0
ברמאללה עקב התקפת הטילים עלתה באש מפקדת כוח 17 	 התקפת הטילים 	2.0
"לדברי דובר צה""ל לא הוזהרה הרשות מראש על ההתקפה "	" דובר צה""ל "	18.0
דווח על הפגנת פלשתינים ברמאללה במחאה על ההתקפה 	 הפגנת פלשתינים 	4.0
הוא ספג פגיעות בכל חלקי גופו 	 חלקי גופו 	4.0
"הפעם היא תכלול גם את עובדי הרשויות המקומיות ביש""ע "	 הרשויות המקומיות 	12.0
ממשלת ליטא ביקשה את הסגרת אנטון גקס , פושע נאצי המתגורר בבריטניה , כדי לשפטו 	 ממשלת ליטא 	19.0
"בגבול מצרים נזרקו רימונים אל עבר כוח צה""ל שערך סיור במקום - איש לא נפגע "	" כוח צה""ל "	9.0
באילת התפוסה של מעל 90 % בבתי המלון 	 בתי המלון 	12.0
ממשלת ירדן מנעה אתמול כינוס של היסטוריונים אירופאים מכחישי שואה 	 ממשלת ירדן 	19.0
מחזור המסחר מסתכם ברמה של 10 מיליון שקל 	 מחזור המסחר 	17.0
כתבנו בני טוקר מדווח כי סמוך לישוב תל רומיידה הותקפה שיירת המלווים באבנים 	 שיירת המלווים 	4.0
זאת לדבריו , במטרה לעודד את קשרי המסחר ולאפשר את קיום מרקם החיים עם הפלשתינים 	 קשרי המסחר 	3.0
יחד עימם נעצר גם אזרח פלשתיני 	 אזרח פלשתיני 	12.0
כתבנו מציין כי בפשיטה נתפסו אמצעי לחימה רבים 	 אמצעי לחימה 	16.0
השר הנורווגי הזמין את פרס לבקר בנורווגיה וזה הביע את נכונותו לבקר 	 השר הנורווגי 	12.0
פרטי החקירה הותרו הערב לפרסום על ידי המשטרה 	 פרטי החקירה 	16.0
מהמשטרה נמסר כי בחקירתם הודו הפועלים גם במספר גניבות נשק שביצעו בעבר 	 גניבות נשק 	18.0
קצה החוט שהוביל את החוקרים לחשוד היה רישום שיחות הטלפון הסלולרי של קברטץ , שהובילו לחשוד , שלו הרשעה קודמת בעבירת סמים 	 קצה החוט 	10.0
יחד עמו עצרו החוקרים את שבעת הפועלים הערבים 	 הפועלים הערבים 	12.0
כתב Cnn דיווח על ירי של פצצות מרגמה 	 פצצות מרגמה 	12.0
כמאה מתושבי היישובים שבסביבה יצאו לצעדת מחאה 	 צעדת מחאה 	1.0
הבלון הונח בתוך חנות ערבית 	 חנות ערבית 	9.0
הפלשתינים דיווחו כי דחפורים הגיעו בשעות הבוקר , והרסו את המבנה , ללא התנגדות 	 שעות הבוקר 	17.0
שר התשתיות אביגדור ליברמן הציג היום את תוכניות משרדו 	 תוכניות משרדו 	9.0
מצבו של התינוק שנפצע בהפגזת המרגמות ביישוב עצמונה מוגדר קריטי 	 הפגזת המרגמות 	2.0
גורמים בכירים בשרותי הביטחון , פנו להסתדרות להפסקת השביתה , לפחות עד לאחר פסח 	 שרותי הביטחון 	12.0
כינוס הוועדה ייעשה ככל הנראה היום וישתתפו בו גם נציגים אמריקנים 	 נציגים אמריקנים 	19.0
מדובר בבחורה יהודייה בשם אנג'ליקה יוספוב 	 בחורה יהודיה 	12.0
הקצין נפצע פצעים אנושים 	 פצעים אנושים 	12.0
לדבריה עם ישראל נמנע מלהרגיש שיש כאן מלחמה 	 עם ישראל 	15.0
ההחלטה התקבלה אחרי דיון סוער ברוב של שישה נגד חמישה 	 דיון סוער 	13.0
מחר תתקיים הצבעה על חוק הביטול בקריאה שניה ושלישית 	 חוק הביטול 	18.0
הגיל הממוצע של כלי הרכב הוא קצת יותר משבע שנים 	 כלי הרכב 	16.0
מקורות פלשתינים מסרו כי גופתו נמצאה אתמול , ועליה סימנים של אלימות קשה 	 מקורות פלשתינים 	9.0
"תומכיו של אריה דרעי פינו את מאהל "" שאגת אריה "" שליד כלא מעשיהו "	 כלא מעשיהו 	15.0
הוא דן עמו על היחסים בין סוריה לאיחוד האירופי 	 איחוד האירופי 	19.0
כך מדווחת סוכנות הידיעות הסורית 	 סוכנות הידיעות 	18.0
הפגנת חירום התקיימה אתמול בערב מול נמל הפוספטים באילת 	 הפגנת חירום 	12.0
"לדברי מקורות אלה המצוטטים ע""י גורמים ישראלים , האיש מת בדרך לבית חולים בג'נין "	 גורמים ישראלים 	12.0
מעוצמת ההתנגשות , נהרג נוסע שישב ליד הנהג ברכב שנסע מצומת גולני לצומת המוביל 	 צומת גולני 	15.0
במהלך הלילה הוצא נגדו צו מעצר , בעודו מאושפז בבית החולים הלל יפה בחדרה 	 צו מעצר 	18.0
"מטען חבלה שהונח על ציר הגישה לאלון מורה בשומרון נתגלה הבוקר על ידי כח צה""ל "	 מטען חבלה 	1.0
הירי בוצע בכביש עוקף שכם דרום 	 כביש עוקף שכם דרום 	16.0
הפשיטה נערכה בעקבות תלונה של משרד התקשורת על התחנה 	 משרד התקשורת 	18.0
בפשיטה נתפסו משדרים ותושב גבעתיים בן 50 עוכב לחקירה 	 תושב גבעתיים 	16.0
שבעה בני אדם נהרגו , ובהם שני ילדים , בתאונת דרכים בנגב 	 תאונת דרכים 	16.0
התאונה היתה לפני פחות משעה בצומת משמר הנגב 	 צומת משמר הנגב 	15.0
שני כלי רכב התנגשו שם חזיתית , כנראה מפני שאחד הנהגים לא ציית לרמזור אדום 	 רמזור אדום 	12.0
הבוקר נהרג בצומת גולני קצין של ממשמר הגבול , כאשר רכב שסטה ממסלולו התנגש בו חזיתית 	 משמר הגבול 	16.0
הכביש סגור מאז ראש השנה 	 ראש השנה 	17.0
"בכיר סורי אמר לכתב היומון כי "" הדרישות הסוריות ידועות "" "	 הדרישות הסוריות 	9.0
בענף התיירות בגליל העליון נמשכת מגמת ההתאוששות 	 ענף התיירות 	18.0
נציג המשטרה אמר בדיון , כי המעצר דרוש לצורך השלמת החקירה 	 נציג המשטרה 	19.0
מאז תחילת האירועים ועד היום מדובר בכ - 130 מטעני חבלה כאלה	 מטעני חבלה	2.0
בינתיים ממשיכים ארגוני הטרור האחרים בהכנות לפיגועים בישראל ונגד ישראלים 	 ארגוני הטרור 	18.0
שרנסקי אף ישתתף בישיבות הקבינט המדיני - הבטחוני 	 הקבינט המדיני - בטחוני 	18.0
למעשה , ישראל בעלייה תהיה אחראית על תיק הקליטה 	 תיק הקליטה 	18.0
"המפד""ל גם תובעת שמנכ""ל המשרד יהיה איש המפלגה "	 איש המפלגה 	19.0
על פי התוכנית , היישובים יאוכלסו בעשרות משפחות ישראליות 	 משפחות ישראליות 	12.0
"צה""ל הקים עמדת תצפית חדשה ליד המחסום בכביש המנהרות , בשולי העיירה בית ג'אלה "	 כביש המנהרות 	12.0
ואולם עדיין מוקדם לומר אם מסקנות הניסוי חלות גם על בני אדם 	 בני אדם 	12.0
אצל נשים התקבלו אותן תוצאות , אך בכמויות של פחות משלושה ספלים ליום 	 שלושה ספלים ליום 	20.0
ראש הממשלה אריאל שרון מקיים בשעה זו בלשכתו דיון בנושא הר הבית , בו אמורות להתקבל החלטות מעשיות 	 הר הבית 	15.0
לנדאו דורש למצוא דרכים שיאפשרו עלייה של מתפללים יהודים להר הבית 	 מתפללים יהודים 	12.0
שלוש פצצות מרגמה נחתו ביישוב נווה דקלים 	 יישוב נווה דקלים 	15.0
התושבים התבקשו להכנס למרחבים מוגנים 	 מרחבים מוגנים 	12.0
סמוך ליישוב עצמונה נפלו לפנות בוקר שתי פצצות מרגמה , אין נפגעים 	 יישוב עצמונה 	15.0
"כתבנו משה פריאל מדווח שבמהלך הלילה הושלכו שני רימונים וכן מטען נפץ אל כוח צה""ל בגבול ישראל - מצרים ליד רפיח "	 מטען נפץ 	1.0
ליד קבר רחל בבית לחם התחדשו בצהרים חילופי האש 	 קבר רחל 	14.0
כעת שקט בבית לחם 	 בית לחם 	16.0
המשטרה מנהלת מצוד אחר שלושה ערבים שניסו לחטוף אזרחית ברחוב הנביאים בירושלים 	 רחוב הנביאים 	15.0
האישה נאבקה עימם וברחה לעמדת קצין הביטחון בבית החולים 	 קצין הביטחון 	18.0
יצויין , כי העלייה בכבישים הרגליים למירון תימשך כרגיל ובה יצעדו גברים ונשים בצוותא 	 כבישים הרגליים 	16.0
צו איסור הפרסום מונע את פרסום פרטיהם של החשודים וזיהויים 	 צו איסור הפרסום 	18.0
במקום יש נשים , ילדים ותלמידי ישיבה 	 תלמידי ישיבה 	12.0
האבנים הושלכו משכונת דכיית אל באריד 	 שכונת דכיית אל באריד 	15.0
"ביחס לדו""ח של ועדת מיטשל , אמר שרון כי יש בו חלקים טובים לישראל וחלקים שאינם מקובלים עליה "	 ועדת מיטשל 	15.0
ראש הממשלה אריאל שרון קורא לציבור לגלות חוסן נוכח שעת המבחן העוברת עליו 	 שעת המבחן 	16.0
בנאום מדיני בפתח מושב הקיץ של הכנסת אמר שרון כי מדובר במבחן שיקבע את פני המזרח התיכון 	 מושב הקיץ 	17.0
""" גל הטרור האחרון תוכנן כהחלטה אסטרטגית של הרשות הפלשתינית "	 הרשות הפלשתינית 	19.0
"כתב עתי""ם מציין כי מדובר בנוהל שהיה קיים בעבר ובוטל על פי החלטת ממשלת רבין בשנת 1992 "	 ממשלת רבין 	15.0
צוותי תקשורת מכל העולם הגיעו לגולן להנציח את ביקור האפיפיור בקונייטרה דרך רמת - הגולן 	 צוותי תקשורת 	18.0
ערבים ניסו לחטוף אזרחית ברחוב הנביאים בירושלים 	 רחוב הנביאים 	15.0
בבוקר נורו יריות לעבר רכב ישראלי באיזור הר חומה 	 רכב ישראלי 	12.0
""" אני מקווה שזו פעם אחרונה ששר המשפטים מפרסם את המלצתו עוד לפני שההמלצה הגיעה לידיי , זה ללא תקדים "	 שר המשפטים 	18.0
כך נמסר מדובר מועצת חוף עזה דני אביב 	 מועצת חוף עזה 	19.0
מפקד חיל הים כינס הערב מסיבת עתונאים בבסיס חיל הים בחיפה ופירט את הנסיבות של לכידת האוניה 	 חיל הים 	18.0
"לפני מספר חודשים פירסמו מקורות בצה""ל ידיעה ולפיה הגיעו לרצועה אמצעי לחימה בדרך דומה "	 אמצעי לחימה 	3.0
בנוסף אמורים היו להיות מוברחים לרצועת עזה גם רובי קלצ'ניקוב ותחמושת לנשק קל 	 רצועת עזה 	16.0
"כך מסר דובר יוניפי""ל "	" דובר יוניפי""ל "	19.0
"לפי התכנית עליה מסר מזכ""ל האו""ם קופי אנאן בחודש ינואר יהפוך כוח האו""ם לכוח משקיפים "	 כוח משקיפים 	4.0
היחידה האירית תעזוב את לבנון בחודש אוקטובר הקרוב , והפינית בחודש נובמבר 	 היחידה האירית 	19.0
"בני משפחה מבני ברק אושפזו בבית הולים "" מעיני הישועה "" לאחר שהורעלו מחיידק הסלמונלה "	 חיידק הסלמונלה 	1.0
שר החקלאות קרא לציבור לרכוש ביצים אך ורק במקומות מוסדרים ולוודא שהביצים מוחתמות 	 שר החקלאות 	18.0
"אש פלשתינית נורתה הלילה לעבר עמדת צה""ל הממוקמת בשכונת גילה בירושלים "	 שכונת גילה 	14.0
"אש פלשתינית נורתה גם לעבר כוח צה""ל בהר גריזים "	 הר גריזים 	15.0
לפנות בוקר רצחו פלשתינים יהודי ליד היישוב איתמר שבשומרון 	 היישוב איתמר 	14.0
לפנות בוקר רצחו הפלשתינים יהודי ששמר על אתר קרוואנים סמוך ליישוב איתמר שבשומרון 	 אתר קרוואנים 	4.0
אתמול פורסם כי שלשום יירטה ספינה של חיל הים , ספינת נשק שיצאה מצפון לבנון לעזה 	 ספינת נשק 	7.0
היא הושמה בנמל חיפה תחת מעקב כבר משבת בצהרים ויורטה שלשום 	 נמל חיפה 	16.0
נמסר כי חומרי הלחימה יועדו לרשות הפלשתינית 	 חומרי הלחימה 	16.0
